Método,N de submissões,Proporção de testes
Usual,2,1
Usual,2,1
Usual,4,"0,5"
Usual,5,1
Usual,2,1
Usual,3,1
Usual,7,1
Usual,3,1
Usual,8,1
Usual,5,1
Usual,2,1
Usual,3,1
Usual,13,1
Usual,6,1
Usual,14,1
Usual,2,"0,8"
Usual,3,1
Usual,9,1
Usual,4,1
Usual,4,1
Usual,5,1
Usual,13,1
Usual,3,1
Usual,8,0
Usual,1,1
Usual,6,"0,8"
Usual,2,1
Usual,10,1
Usual,6,1
Usual,7,1
Usual,10,1
Oraculo A,1,1
Oraculo A,2,1
Oraculo A,2,1
Oraculo A,3,1
Oraculo A,1,1
Oraculo A,4,1
Oraculo A,4,1
Oraculo A,1,1
Oraculo A,6,1
Oraculo A,4,1
Oraculo A,1,1
Oraculo A,3,1
Oraculo A,2,1
Oraculo A,3,1
Oraculo A,3,1
Oraculo A,2,1
Oraculo A,3,1
Oraculo A,1,1
Oraculo A,1,1
Oraculo A,2,1
Oraculo A,3,1
Oraculo A,4,1
Oraculo A,1,1
Oraculo A,4,1
Oraculo A,1,1
Oraculo A,1,1
Oraculo A,1,1
Oraculo A,1,1
Oraculo A,1,1
Oraculo A,5,1
Oraculo A,1,1
TDD,4,1
TDD,2,1
TDD,8,1
TDD,4,1
TDD,1,1
TDD,4,1
TDD,5,1
TDD,4,1
TDD,5,1
TDD,2,1
TDD,12,1
TDD,2,1
TDD,6,1
TDD,4,1
TDD,5,1
TDD,5,1
TDD,2,1
TDD,3,1
TDD,1,1
TDD,3,1
TDD,3,1
TDD,14,1
TDD,6,1
TDD,6,1
TDD,5,1
TDD,2,1
TDD,8,1
TDD,7,1
TDD,3,1
TDD,8,1
TDD,1,1
Oráculo B,1,1
Oráculo B,1,1
Oráculo B,3,1
Oráculo B,4,1
Oráculo B,1,1
Oráculo B,4,1
Oráculo B,5,1
Oráculo B,2,1
Oráculo B,6,1
Oráculo B,1,1
Oráculo B,4,1
Oráculo B,1,1
Oráculo B,2,1
Oráculo B,3,1
Oráculo B,3,1
Oráculo B,4,1
Oráculo B,1,1
Oráculo B,1,1
Oráculo B,4,1
Oráculo B,2,1
Oráculo B,5,1
Oráculo B,8,1
Oráculo B,2,1
Oráculo B,1,1
Oráculo B,3,1
Oráculo B,5,1
Oráculo B,4,1
Oráculo B,2,1
Oráculo B,3,1
Oráculo B,4,1
Oráculo B,2,1
